lib,db,total,pass,fail_FP,error,FP::P1_DP_consistency,FP::P3_cross_rank_replication,FP::P4_model_integrity
lib_no_adversarial,cksum_before_backward_bitwise_level_test_db,93,64,20,9,13,0,7
lib_no_adversarial,dist_optimizer_normal,93,80,6,7,2,0,4
lib_no_adversarial,distribution_shape_test_db,93,58,30,5,23,0,7
lib_no_adversarial,dp_normal,93,82,5,6,2,0,3
lib_no_adversarial,dp_normal_db,93,80,7,6,3,0,4
lib_no_adversarial,dtype_test_db,93,75,8,10,7,0,1
lib_no_adversarial,grad_existence_test_db,93,85,2,6,2,0,0
lib_no_adversarial,higher_order_stats_test_db,93,58,27,8,20,0,7
lib_no_adversarial,lr_test_db,93,60,29,4,23,0,6
lib_no_adversarial,main_grad_after_backward_test_db,93,66,20,7,13,0,7
lib_no_adversarial,main_grad_test_db,93,64,22,7,14,0,8
lib_no_adversarial,mixed_precision_normal,93,81,6,6,2,0,4
lib_no_adversarial,optim_backward_test_db,93,63,18,12,12,0,6
lib_no_adversarial,optim_state_after_step_test_db,93,78,9,6,4,0,5
lib_no_adversarial,optim_state_before_backward_test_db,93,75,9,9,4,0,5
lib_no_adversarial,optim_state_before_optim_step_test_db,93,57,26,10,19,0,7
lib_no_adversarial,optimizer_state_test_db,93,68,20,5,14,0,6
lib_no_adversarial,param_bitwise_after_backward_test_db,93,59,27,7,20,0,7
lib_no_adversarial,param_bitwise_before_optim_test_db,93,62,28,3,22,0,6
lib_no_adversarial,quantile_test_db,93,63,22,8,17,0,5
lib_no_adversarial,requires_grad_after_backward_test_db,93,63,19,11,15,0,4
lib_no_adversarial,requires_grad_before_backward_test_db,93,75,10,8,5,0,5
lib_no_adversarial,requires_grad_test_db,93,63,25,5,19,0,6
lib_no_adversarial,shape_test_db,93,77,7,9,6,0,1
lib_no_adversarial,sharded_same_test_db,93,64,21,8,15,0,6
lib_no_adversarial,tp_attn_proj_test_db,66,56,7,3,0,2,5
lib_no_adversarial,tp_embedding_test_db,66,54,10,2,0,3,7
lib_no_adversarial,tp_grad_boundary_jump_test_db,66,52,8,6,0,2,6
lib_no_adversarial,tp_grad_distribution_test_db,66,52,6,8,0,2,4
lib_no_adversarial,tp_grad_nan_test_db,66,50,8,8,0,2,6
lib_no_adversarial,tp_grad_same_test_db,66,52,8,6,0,3,5
lib_no_adversarial,tp_layernorm_bias_test_db,66,54,7,5,0,4,3
lib_no_adversarial,tp_layernorm_test_db,66,54,8,4,0,4,4
lib_no_adversarial,tp_main_grad_test_db,66,53,8,5,0,3,5
lib_no_adversarial,tp_mlp_fc1_test_db,66,56,8,2,0,4,4
lib_no_adversarial,tp_normal,66,50,8,8,0,3,5
lib_no_adversarial,tp_optim_state_test_db,66,52,7,7,0,3,4
lib_no_adversarial,tp_qkv_boundary_jump_test_db,66,56,7,3,0,2,5
lib_no_adversarial,tp_qkv_distribution_test_db,66,51,8,7,0,3,5
lib_no_adversarial,tp_requires_grad_test_db,66,55,6,5,0,3,3
lib_no_adversarial,tp_router_test_db,66,53,7,6,0,3,4
lib_no_adversarial,tp_shared_experts_same_test_db,66,53,7,6,0,3,4
