lib,db,total,pass,fail_FP,error,FP::P1_DP_consistency,FP::P3_cross_rank_replication,FP::P4_model_integrity
lib_full,cksum_before_backward_bitwise_level_test_db,93,71,16,6,11,0,5
lib_full,dist_optimizer_normal,93,87,2,4,0,0,2
lib_full,distribution_shape_test_db,93,70,15,8,11,0,4
lib_full,dp_normal,93,83,2,8,0,0,2
lib_full,dp_normal_db,93,85,1,7,0,0,1
lib_full,dtype_test_db,93,83,2,8,2,0,0
lib_full,grad_existence_test_db,93,84,1,8,0,0,1
lib_full,higher_order_stats_test_db,93,71,15,7,11,0,4
lib_full,lr_test_db,93,74,16,3,13,0,3
lib_full,main_grad_after_backward_test_db,93,71,17,5,12,0,5
lib_full,main_grad_test_db,93,70,17,6,13,0,4
lib_full,mixed_precision_normal,93,86,1,6,0,0,1
lib_full,optim_backward_test_db,93,72,15,6,11,0,4
lib_full,optim_state_after_step_test_db,93,79,6,8,2,0,4
lib_full,optim_state_before_backward_test_db,93,83,5,5,2,0,3
lib_full,optim_state_before_optim_step_test_db,93,69,16,8,12,0,4
lib_full,optimizer_state_test_db,93,76,15,2,12,0,3
lib_full,param_bitwise_after_backward_test_db,93,75,16,2,11,0,5
lib_full,param_bitwise_before_optim_test_db,93,71,16,6,12,0,4
lib_full,quantile_test_db,93,68,18,7,14,0,4
lib_full,requires_grad_after_backward_test_db,93,73,14,6,9,0,5
lib_full,requires_grad_before_backward_test_db,93,82,4,7,2,0,2
lib_full,requires_grad_test_db,93,71,17,5,13,0,4
lib_full,shape_test_db,93,86,1,6,1,0,0
lib_full,sharded_same_test_db,93,70,15,8,11,0,4
lib_full,tp_attn_proj_test_db,66,56,6,4,0,2,4
lib_full,tp_embedding_test_db,66,56,6,4,0,1,5
lib_full,tp_grad_boundary_jump_test_db,66,58,3,5,0,0,3
lib_full,tp_grad_distribution_test_db,66,55,5,6,0,0,5
lib_full,tp_grad_nan_test_db,66,57,4,5,0,2,2
lib_full,tp_grad_same_test_db,66,57,5,4,0,2,3
lib_full,tp_layernorm_bias_test_db,66,60,3,3,0,0,3
